"group" "lib.size" "norm.factors"
"MCL1.DG" "1" 23218026 1.23689928705836
"MCL1.DH" "1" 21768136 1.21394850148457
"MCL1.DI" "1" 24091588 1.12556397928396
"MCL1.DJ" "1" 22656713 1.06982611000644
"MCL1.DK" "1" 21522033 1.03592116624024
"MCL1.DL" "1" 20008326 1.08721531031997
"MCL1.LA" "1" 20384562 1.36844487185104
"MCL1.LB" "1" 21698793 1.36532002999587
"MCL1.LC" "1" 22235847 1.00474306757476
"MCL1.LD" "1" 21982745 0.923282213124312
"MCL1.LE" "1" 24719697 0.52910149346331
"MCL1.LF" "1" 24652963 0.53548771157785
